pkey,pkey_cat,icd9_code,icd10_code,flags
01304-A170,icd9-icd10,01304,A170,10000
01305-A170,icd9-icd10,01305,A170,10000
01306-A170,icd9-icd10,01306,A170,10000
01310-A171,icd9-icd10,01310,A171,10000
01311-A171,icd9-icd10,01311,A171,10000
01312-A171,icd9-icd10,01312,A171,10000
01313-A171,icd9-icd10,01313,A171,10000
01314-A171,icd9-icd10,01314,A171,10000
01315-A171,icd9-icd10,01315,A171,10000
01316-A171,icd9-icd10,01316,A171,10000
01320-A1781,icd9-icd10,01320,A1781,10000
01321-A1781,icd9-icd10,01321,A1781,10000
01322-A1781,icd9-icd10,01322,A1781,10000
01323-A1781,icd9-icd10,01323,A1781,10000
01324-A1781,icd9-icd10,01324,A1781,10000
01325-A1781,icd9-icd10,01325,A1781,10000
01326-A1781,icd9-icd10,01326,A1781,10000
01330-A1781,icd9-icd10,01330,A1781,10000
01331-A1781,icd9-icd10,01331,A1781,10000
01332-A1781,icd9-icd10,01332,A1781,10000
01333-A1781,icd9-icd10,01333,A1781,10000
01334-A1781,icd9-icd10,01334,A1781,10000
01335-A1781,icd9-icd10,01335,A1781,10000
01336-A1781,icd9-icd10,01336,A1781,10000
01340-A1781,icd9-icd10,01340,A1781,10000
01341-A1781,icd9-icd10,01341,A1781,10000
01342-A1781,icd9-icd10,01342,A1781,10000
01343-A1781,icd9-icd10,01343,A1781,10000
01344-A1781,icd9-icd10,01344,A1781,10000
01345-A1781,icd9-icd10,01345,A1781,10000
01346-A1781,icd9-icd10,01346,A1781,10000
01350-A1781,icd9-icd10,01350,A1781,10000
01351-A1781,icd9-icd10,01351,A1781,10000
01352-A1781,icd9-icd10,01352,A1781,10000
01353-A1781,icd9-icd10,01353,A1781,10000
01354-A1781,icd9-icd10,01354,A1781,10000
01355-A1781,icd9-icd10,01355,A1781,10000
01356-A1781,icd9-icd10,01356,A1781,10000
01360-A1782,icd9-icd10,01360,A1782,10000
01361-A1782,icd9-icd10,01361,A1782,10000
01362-A1782,icd9-icd10,01362,A1782,10000
01363-A1782,icd9-icd10,01363,A1782,10000
01364-A1782,icd9-icd10,01364,A1782,10000
01365-A1782,icd9-icd10,01365,A1782,10000
01366-A1782,icd9-icd10,01366,A1782,10000
01380-A1789,icd9-icd10,01380,A1789,10000
01381-A1789,icd9-icd10,01381,A1789,10000
01382-A1789,icd9-icd10,01382,A1789,10000
01383-A1789,icd9-icd10,01383,A1789,10000
01384-A1789,icd9-icd10,01384,A1789,10000
01385-A1789,icd9-icd10,01385,A1789,10000
01386-A1789,icd9-icd10,01386,A1789,10000
01390-A179,icd9-icd10,01390,A179,10000
01391-A179,icd9-icd10,01391,A179,10000
01392-A179,icd9-icd10,01392,A179,10000
01393-A179,icd9-icd10,01393,A179,10000
01394-A179,icd9-icd10,01394,A179,10000
01395-A179,icd9-icd10,01395,A179,10000
01396-A179,icd9-icd10,01396,A179,10000
01400-A1831,icd9-icd10,01400,A1831,10000
01401-A1831,icd9-icd10,01401,A1831,10000
01402-A1831,icd9-icd10,01402,A1831,10000
01403-A1831,icd9-icd10,01403,A1831,10000
01404-A1831,icd9-icd10,01404,A1831,10000
01405-A1831,icd9-icd10,01405,A1831,10000
01406-A1831,icd9-icd10,01406,A1831,10000
01480-A1832,icd9-icd10,01480,A1832,10000
01480-A1839,icd9-icd10,01480,A1839,10000
01481-A1832,icd9-icd10,01481,A1832,10000
01481-A1839,icd9-icd10,01481,A1839,10000
01482-A1832,icd9-icd10,01482,A1832,10000
01482-A1839,icd9-icd10,01482,A1839,10000
01483-A1832,icd9-icd10,01483,A1832,10000
01483-A1839,icd9-icd10,01483,A1839,10000
01484-A1832,icd9-icd10,01484,A1832,10000
01484-A1839,icd9-icd10,01484,A1839,10000
01485-A1832,icd9-icd10,01485,A1832,10000
01485-A1839,icd9-icd10,01485,A1839,10000
01486-A1832,icd9-icd10,01486,A1832,10000
01486-A1839,icd9-icd10,01486,A1839,10000
01500-A1801,icd9-icd10,01500,A1801,10000
01501-A1801,icd9-icd10,01501,A1801,10000
01502-A1801,icd9-icd10,01502,A1801,10000
01503-A1801,icd9-icd10,01503,A1801,10000
01504-A1801,icd9-icd10,01504,A1801,10000
01505-A1801,icd9-icd10,01505,A1801,10000
01506-A1801,icd9-icd10,01506,A1801,10000
01510-A1802,icd9-icd10,01510,A1802,10000
01511-A1802,icd9-icd10,01511,A1802,10000
01512-A1802,icd9-icd10,01512,A1802,10000
01513-A1802,icd9-icd10,01513,A1802,10000
01514-A1802,icd9-icd10,01514,A1802,10000
01515-A1802,icd9-icd10,01515,A1802,10000
01516-A1802,icd9-icd10,01516,A1802,10000
01520-A1802,icd9-icd10,01520,A1802,10000
01521-A1802,icd9-icd10,01521,A1802,10000
01522-A1802,icd9-icd10,01522,A1802,10000
01523-A1802,icd9-icd10,01523,A1802,10000
01524-A1802,icd9-icd10,01524,A1802,10000
01525-A1802,icd9-icd10,01525,A1802,10000
01526-A1802,icd9-icd10,01526,A1802,10000
01550-A1803,icd9-icd10,01550,A1803,10000
01551-A1803,icd9-icd10,01551,A1803,10000
01552-A1803,icd9-icd10,01552,A1803,10000
01553-A1803,icd9-icd10,01553,A1803,10000
01554-A1803,icd9-icd10,01554,A1803,10000
01555-A1803,icd9-icd10,01555,A1803,10000
01556-A1803,icd9-icd10,01556,A1803,10000
01560-A1803,icd9-icd10,01560,A1803,10000
01561-A1803,icd9-icd10,01561,A1803,10000
01562-A1803,icd9-icd10,01562,A1803,10000
01563-A1803,icd9-icd10,01563,A1803,10000
01564-A1803,icd9-icd10,01564,A1803,10000
01565-A1803,icd9-icd10,01565,A1803,10000
01566-A1803,icd9-icd10,01566,A1803,10000
01570-A1803,icd9-icd10,01570,A1803,10000
01571-A1803,icd9-icd10,01571,A1803,10000
01572-A1803,icd9-icd10,01572,A1803,10000
01573-A1803,icd9-icd10,01573,A1803,10000
01574-A1803,icd9-icd10,01574,A1803,10000
01575-A1803,icd9-icd10,01575,A1803,10000
01576-A1803,icd9-icd10,01576,A1803,10000
01580-A1802,icd9-icd10,01580,A1802,10000
01581-A1802,icd9-icd10,01581,A1802,10000
01582-A1802,icd9-icd10,01582,A1802,10000
01583-A1802,icd9-icd10,01583,A1802,10000
01584-A1802,icd9-icd10,01584,A1802,10000
01585-A1802,icd9-icd10,01585,A1802,10000
01586-A1802,icd9-icd10,01586,A1802,10000
01590-A1802,icd9-icd10,01590,A1802,10000
01590-A1803,icd9-icd10,01590,A1803,10000
